case,location,date,year,race,gender,fatalities,injured,total_victims,location,latitude,longitude,type,age_of_shooter,prior_signs_mental_health_issues,mental_health_details,weapons_obtained_legally,where_obtained,weapon_type,weapon_details,sources,mental_health_sources,sources_additional_age,summary,,,,,,
Coffee shop police killings,"Parkland, Washington",11/29/2009,2009,Black,Male,4,1,5,Other,47.15277,-122.467308,Mass,37,Yes,"He had a history of erratic, bizarre behavior. He once asked his family to get naked for 5 minutes on Sunday; he said he thought the world would end and that he was Jesus.",No,Stolen from an individual in Seattle.,One semiautomatic handgun,9mm Glock 17 semiautomatic handgun; .38N/acaliber Smith & Wesson revolver,http://seattletimes.com/html/localnews/2010385617_webmansought29.html; http://www.nytimes.com/2009/11/30/us/30tacoma.html?_r=1; http://seattletimes.com/html/localnews/2014155225_clemmons08m.html,http://seattletimes.com/html/localnews/2010385617_webmansought29.html,http://seattletimes.com/html/localnews/2010385617_webmansought29.html; http://www.nytimes.com/2009/11/30/us/30tacoma.html?_r=1; http://seattletimes.com/html/localnews/2014155225_clemmons08m.html,"Maurice Clemmons, 37, a felon who was out on bail for childN/arape charges, entered a coffee shop on a Sunday morning and shot four police officers who had gone there to use their laptops before their shifts. Clemmons, who was wounded fleeing the scene, was later shot dead by a police officer in Seattle after a twoN/aday manhunt.",,,,,,
Fort Hood massacre,"Fort Hood, Texas",11/5/2009,2009,Other,Male,13,31,44,Military,31.135557,-97.783664,Mass,39,Unclear,Medical officials at Walter Reed Army Medical Center and the Uniformed Services University of the Health Sciences raised concerns prior to the shooting regarding Hasan's aloof and erratic behavior and extremist Islamic views.,Yes,"Guns Galore in Kileen, Texas",One semiautomatic handgun,FN FiveN/aseven semiautomatic handgun,http://seattletimes.com/html/nationworld/2010232219_apusforthoodshooting.html; http://articles.latimes.com/2010/oct/21/nation/laN/anaN/afortN/ahoodN/a20101022; http://thelede.blogs.nytimes.com/2009/11/05/reportsN/aofN/amassN/ashootingN/aatN/afortN/ahood/; http://www.usatoday.com/news/military/story/2012N/a08N/a14/fortN/ahoodN/arampageN/atrial/57050394/1,http://www.npr.org/templates/story/story.php?storyId=120313570,http://seattletimes.com/html/nationworld/2010232219_apusforthoodshooting.html; http://articles.latimes.com/2010/oct/21/nation/laN/anaN/afortN/ahoodN/a20101022; http://thelede.blogs.nytimes.com/2009/11/05/reportsN/aofN/amassN/ashootingN/aatN/afortN/ahood/; http://www.usatoday.com/news/military/story/2012N/a08N/a14/fortN/ahoodN/arampageN/atrial/57050394/1,"Army psychiatrist Nidal Malik Hasan, 39, opened fire on an Army base in an attack linked to Islamist extremism. Hasan was injured during the attack and later arrested.",,,,,,
Binghamton shootings,"Binghamton, New York",4/3/2009,2009,Asian,Male,14,4,18,Other,42.099802,-75.917723,Mass,41,Yes,He apparently harbored growing paranoia toward cops. He also sent a delusional letter to a local TV station right before the shooting.,Yes,"Gander Mountain in Johnson City, N.Y.",Two semiautomatic handguns,"9mm Beretta, .45N/acaliber Springfield semiautomatic handguns",http://www.nytimes.com/2009/04/12/nyregion/12binghamton.html?pagewanted=all&_r=0; http://www.nytimes.com/2009/04/04/nyregion/04hostage.html?pagewanted=all,http://www.nytimes.com/2009/04/12/nyregion/12binghamton.html?pagewanted=all&_r=1&,http://www.nytimes.com/2009/04/12/nyregion/12binghamton.html?pagewanted=all&_r=0; http://www.nytimes.com/2009/04/04/nyregion/04hostage.html?pagewanted=all,"Jiverly Wong, 41, opened fire at an American Civic Association center for immigrants before committing suicide.",,,,,,
Carthage nursing home shooting,"Carthage, North Carolina",3/29/2009,2009,White,Male,8,3,11,Other,35.333434,-79.414592,Mass,45,Yes,"His estranged wife told her workplace that her husband had an ""unstable mental state or (was) mentally ill.""",Yes,Local sporting goods stores and individuals,"One revolver, one shotgun",Winchester 1300 pumpN/aaction shotgun; .357 Magnum revolver,http://www.wral.com/news/local/story/9845639/; http://www.wral.com/news/local/story/4837676/,http://www.wral.com/news/local/story/9845639/,http://www.wral.com/news/local/story/9845639/; http://www.wral.com/news/local/story/4837676/,"Robert Stewart, 45, opened fire at a nursing home where his estranged wife worked before he was shot and arrested by a police officer.",,,,,,
Atlantis Plastics shooting,"Henderson, Kentucky",6/25/2008,2008,White,Male,6,1,7,Workplace,37.76721,-87.5573742,Spree,25,No,He called his girlfriend two hours before the shooting to say he was going to kill his boss.,Yes,Unknown,One semiautomatic handgun,.45N/acaliber HiN/aPoint semiautomatic handgun,"http://www.foxnews.com/story/0,2933,371242,00.html; http://www.msnbc.msn.com/id/25393695/ns/us_newsN/acrime_and_courts/t/witnessesN/adescribeN/achaoticN/asceneN/akyN/aplant/#.UFEbHhhgspQ","http://www.foxnews.com/story/0,2933,371242,00.html","http://www.foxnews.com/story/0,2933,371242,00.html; http://www.msnbc.msn.com/id/25393695/ns/us_newsN/acrime_and_courts/t/witnessesN/adescribeN/achaoticN/asceneN/akyN/aplant/#.UFEbHhhgspQ","Disgruntled employee Wesley Neal Higdon, 25, shot up an Atlantis Plastics factory after he was escorted out of his workplace for an argument with a supervisor. Higdon shot the supervisor outside the factory before opening fire on coworkers inside. He then committed suicide.",,,,,,
Northern Illinois University shooting,"DeKalb, Illinois",2/14/2008,2008,White,Male,5,21,26,School,41.9294736,-88.7503647,Mass,27,Yes,"He had a long history of mental health struggles; after high school, his parents placed him at a psychiatric treatment center. He told friends he left the Army after six months due to a psychological discharge. ",Yes,"Online and gun retailers in Champaign, Ill. ","Three semiautomatic handguns, one shotgun","9mm Glock 19, HiN/aPoint CF380, 9mm Kurz SIG Sauer P232 semiautomatic handguns; 12N/agauge Remington Sportsman 48 sawedN/aoff shotgun",http://www.huffingtonpost.com/jonathanN/afast/steveN/akazmierczakN/atheN/asec_b_87031.html; http://www.msnbc.msn.com/id/23171567/ns/us_newsN/acrime_and_courts/t/collegeN/ashootersN/adeadlyN/arampageN/abafflesN/afriends/#.UFEZnhhgspQ; http://www.nytimes.com/slideshow/2008/02/14/us/0214N/aSHOOTING_index.html?ref=schoolshooting&gwh=B62598A5487B946A532C5846B4A85156; www.niu.edu/feb14report/Feb14report.pdf,http://www.cbsnews.com/stories/2008/02/16/national/main3840072.shtml; http://www.esquire.com/newsN/apolitics/a4863/stevenN/akazmierczakN/a0808/,http://www.huffingtonpost.com/jonathanN/afast/steveN/akazmierczakN/atheN/asec_b_87031.html; http://www.msnbc.msn.com/id/23171567/ns/us_newsN/acrime_and_courts/t/collegeN/ashootersN/adeadlyN/arampageN/abafflesN/afriends/#.UFEZnhhgspQ; http://www.nytimes.com/slideshow/2008/02/14/us/0214N/aSHOOTING_index.html?ref=schoolshooting&gwh=B62598A5487B946A532C5846B4A85156; www.niu.edu/feb14report/Feb14report.pdf,"Steven Kazmierczak, 27, opened fire in a lecture hall, then shot and killed himself before police arrived.",,,,,,
Kirkwood City Council shooting,"Kirkwood, Missouri",2/7/2008,2008,Black,Male,6,2,8,Other,38.580093,-90.40691,Mass,52,No,He was known for histrionics and disruptions at city council meetings. His mounting debt was a stressor.,No,Taken in burglary and from fallen police officer,"One semiautomatic handgun, one revolver",.40N/acaliber Smith & Wesson semiautomatic handgun; .44 Magnum Smith & Wesson Model 29 revolver,http://www.stltoday.com/news/local/crimeN/aandN/acourts/charlesN/aleeN/acookieN/athorntonN/abehindN/atheN/asmile/article_be96f13cN/a78b9N/a11dfN/abfdcN/a0017a4a78c22.html; http://www.nytimes.com/2008/02/08/us/08missouri.html; http://nl.newsbank.com/nlN/asearch/we/Archives?p_product=SL&p_theme=sl&p_action=search&p_maxdocs=200&p_topdoc=1&p_text_directN/a0=11F1CADA291472F0&p_field_directN/a0=document_id&p_perpage=10&p_sort=YMD_date:D&s_trackval=GooglePM,http://www.stltoday.com/news/local/crimeN/aandN/acourts/charlesN/aleeN/acookieN/athorntonN/abehindN/atheN/asmile/article_be96f13cN/a78b9N/a11dfN/abfdcN/a0017a4a78c22.html,http://www.stltoday.com/news/local/crimeN/aandN/acourts/charlesN/aleeN/acookieN/athorntonN/abehindN/atheN/asmile/article_be96f13cN/a78b9N/a11dfN/abfdcN/a0017a4a78c22.html; http://www.nytimes.com/2008/02/08/us/08missouri.html; http://nl.newsbank.com/nlN/asearch/we/Archives?p_product=SL&p_theme=sl&p_action=search&p_maxdocs=200&p_topdoc=1&p_text_directN/a0=11F1CADA291472F0&p_field_directN/a0=document_id&p_perpage=10&p_sort=YMD_date:D&s_trackval=GooglePM,"Charles ""Cookie"" Lee Thornton, 52, went on a rampage at the city hall before being shot and killed by police.",,,,,,
Westroads Mall shooting,"Omaha, Nebraska",12/5/2007,2007,White,Male,9,4,13,Other,41.265719,-96.067495,Spree,19,Yes,He had been treated in the past for depression and ADHD. ,No,Stolen from grandfather,One rifle (assault),WASRN/a10 Century Arms semiautomatic rifle,"http://www.guardian.co.uk/world/2007/dec/06/usa.usgunviolence2; http://www.npr.org/templates/story/story.php?storyId=16962485; http://www.independentmail.com/news/2007/dec/08/officialsN/asayN/aassaultN/ariflesN/acauseN/aroughlyN/asameN/aam/; http://www.latimes.com/news/nationworld/nation/laN/anaN/amall7dec07,0,882178.story",http://www.guardian.co.uk/world/2007/dec/06/usa.usgunviolence2,"http://www.guardian.co.uk/world/2007/dec/06/usa.usgunviolence2; http://www.npr.org/templates/story/story.php?storyId=16962485; http://www.independentmail.com/news/2007/dec/08/officialsN/asayN/aassaultN/ariflesN/acauseN/aroughlyN/asameN/aam/; http://www.latimes.com/news/nationworld/nation/laN/anaN/amall7dec07,0,882178.story","Robert A. Hawkins, 19, opened fire inside Westroads Mall before committing suicide.",,,,,,
Crandon shooting,"Crandon, Wisconsin",10/7/2007,2007,White,Male,6,1,7,Other,45.5719072,-88.9028922,Mass,20,Unclear,The families of victims filed a wrongful death lawsuit against the county arguing that the police department should have evaluated the gunman's mental health before hiring him.,Yes,Issued by Forest County Sheriff's Department,One rifle (assault),ARN/a15 SWAT semiautomatic rifle,"http://www.rivernewsonline.com/main.asp?SectionID=6&SubSectionID=47&ArticleID=368; http://news.google.com/newspapers?id=ON/aMqAAAAIBAJ&sjid=u0UEAAAAIBAJ&pg=6724,5434155&dq=crandon+shooting&hl=en",http://www.rivernewsonline.com/main.asp?SectionID=6&SubSectionID=47&ArticleID=368,"http://www.rivernewsonline.com/main.asp?SectionID=6&SubSectionID=47&ArticleID=368; http://news.google.com/newspapers?id=ON/aMqAAAAIBAJ&sjid=u0UEAAAAIBAJ&pg=6724,5434155&dq=crandon+shooting&hl=en","OffN/aduty sheriff's deputy Tyler Peterson, 20, opened fire inside an apartment after an argument at a homecoming party. He fled the scene and later committed suicide.",,,,,,
Virginia Tech massacre,"Blacksburg, Virginia",4/16/2007,2007,Asian,Male,32,23,55,School,37.2295733,-80.4139393,Mass,23,Yes,"A district court ruled Cho was ""an imminent danger"" to himself and others as a result of mental illness two years earlier, and directed Cho to seek treatment. ",Yes,"Purchased variously online and from Roanoke Firearms in Roanoke, Va.",Two semiautomatic handguns,"9mm Glock 19, .22N/acaliber Walther P22 semiautomatic handguns",http://www.nytimes.com/2007/04/24/us/24virginia.html; http://www.thestandard.com.hk/news_detail.asp?we_cat=9&art_id=42489&sid=13196711&con_type=1&d_str=20070419&fc=10; http://smartgunlaws.org/mentalN/ahealthN/areportingN/apolicyN/asummary/,http://abcnews.go.com/US/story?id=3052278&page=1,http://www.nytimes.com/2007/04/24/us/24virginia.html; http://www.thestandard.com.hk/news_detail.asp?we_cat=9&art_id=42489&sid=13196711&con_type=1&d_str=20070419&fc=10; http://smartgunlaws.org/mentalN/ahealthN/areportingN/apolicyN/asummary/,"Virginia Tech student SeungN/aHui Cho, 23, opened fire on his school's campus before committing suicide.",,,,,,
Trolley Square shooting,"Salt Lake City, Utah",2/12/2007,2007,White,Male,6,4,10,Other,40.7606467,-111.89109,Mass,18,Unclear,"According to one relative, he was violent and had the mental capacity of a child. (But accounts from others did not indicate this about the shooter.)",Unknown,"Purchased variously from Sportsman's Fast Cash in West Valley City, Utah and individuals ","One revolver, one shotgun",Mossberg Maverick 88 Field shotgun; .38N/acaliber Smith & Wesson M36 revolver,http://www.deseretnews.com/article/660205647/ExN/arelativeN/acallsN/aTalovicN/aviciousN/atroubled.html?pg=all; http://www.cbsnews.com/stories/2007/02/15/national/main2480419.shtml; http://www.cbsnews.com/8301N/a201_162N/a2823327.html,http://www.deseretnews.com/article/660205647/ExN/arelativeN/acallsN/aTalovicN/aviciousN/atroubled.html?pg=all,http://www.deseretnews.com/article/660205647/ExN/arelativeN/acallsN/aTalovicN/aviciousN/atroubled.html?pg=all; http://www.cbsnews.com/stories/2007/02/15/national/main2480419.shtml; http://www.cbsnews.com/8301N/a201_162N/a2823327.html,"Sulejman Talović, 18, rampaged through the shopping center until he was shot dead by police.",,,,,,
Amish school shooting,"Lancaster County, Pennsylvania",10/2/2006,2006,White,Male,6,5,11,School,39.9589,-76.0806,Mass,32,No,He told his wife that he'd molested two young relatives 20 years ago. ,Yes,"Local stores in Nickel Mines, Penn. ","One semiautomatic handgun, one rifle, one shotgun",Springfield semiautomatic handgun; .30N/a06 Ruger boltN/aaction rifle; 12N/agauge Browning pumpN/aaction shotgun,"http://news.google.com/newspapers?id=O8oyAAAAIBAJ&sjid=YSUEAAAAIBAJ&pg=6143,1260138&dq=charles+carl+roberts+mentally+ill&hl=en;http://www.msnbc.msn.com/id/15105305/ns/us_newsN/acrime_and_courts/t/thN/agirlN/adiesN/aafterN/aamishN/aschoolhouseN/ashooting/#.UFD4SxhgspQ; http://www.foxnews.com/story/0,2933,217170,00.html",http://www.cnn.com/2006/US/10/03/amish.shooting/index.html,"http://news.google.com/newspapers?id=O8oyAAAAIBAJ&sjid=YSUEAAAAIBAJ&pg=6143,1260138&dq=charles+carl+roberts+mentally+ill&hl=en;http://www.msnbc.msn.com/id/15105305/ns/us_newsN/acrime_and_courts/t/thN/agirlN/adiesN/aafterN/aamishN/aschoolhouseN/ashooting/#.UFD4SxhgspQ; http://www.foxnews.com/story/0,2933,217170,00.html","Charles Carl Roberts, 32, shot 10 young girls in a oneN/aroom schoolhouse in Bart Township, killing 5, before taking his own life.",,,,,,
Capitol Hill massacre,"Seattle, Washington",3/25/2006,2006,White,Male,7,2,9,Other,47.6229,-122.3165,Mass,28,No,Police were unable to find any record that he had been treated for mental illness or was on psychiatric medication.,Yes,"Various sporting goods stores in Kalispell, Mont.","Two semiautomatic handguns, one rifle (assault), one shotgun",".40N/acaliber Ruger, one other semiautomatic handgun; Bushmaster XM15 E2S semiautomatic rifle; 12N/agauge Winchester Defender pumpN/aaction shotgun with extended tube and pistol grip",http://seattletimes.com/html/localnews/2002892043_shooter27m.html; http://seattletimes.com/html/localnews/2002898900_huff30m.html,http://seattletimes.com/html/localnews/2002898900_huff30m.html,http://seattletimes.com/html/localnews/2002892043_shooter27m.html; http://seattletimes.com/html/localnews/2002898900_huff30m.html,"Kyle Aaron Huff, 28, opened fire at a rave afterparty in the Capitol Hill neighborhood of Seattle before committing suicide.",,,,,,
Goleta postal shootings,"Goleta, California",1/30/2006,2006,White,Female,8,0,8,Workplace,34.425571,-119.866069,Mass,44,Yes,She was placed on retirement disability for psychological reasons. Fellow employees described her behavior as increasingly bizarre. She believed the Postal Service employees were conspiring against her.,Yes,"Pawn shops in Grants and Gallup, N.M.",One semiautomatic handgun,9mm Smith & Wesson 915 semiautomatic handgun,http://www.msnbc.msn.com/id/11167920/ns/us_newsN/acrime_and_courts/t/postalN/akillerN/abelievedN/asheN/awasN/atargetN/aplot/#.UIxy7kzLwTE; http://www.cbsnews.com/stories/2006/02/02/national/main1272077.shtml; ,http://www.msnbc.msn.com/id/11167920/ns/us_newsN/acrime_and_courts/t/postalN/akillerN/abelievedN/asheN/awasN/atargetN/aplot/#.UNyN5cXhe75,http://www.msnbc.msn.com/id/11167920/ns/us_newsN/acrime_and_courts/t/postalN/akillerN/abelievedN/asheN/awasN/atargetN/aplot/#.UIxy7kzLwTE; http://www.cbsnews.com/stories/2006/02/02/national/main1272077.shtml; ,"Former postal worker Jennifer Sanmarco, 44, shot dead a former neighbor then drove to the mail processing plant where she used to work. Inside, she opened fire, killing six employees before committing suicide.",,,,,,
Red Lake massacre,"Red Lake, Minnesota",3/21/2005,2005,Native American,Male,10,5,15,School,47.876346,-95.0169401,Mass,16,Yes,He voluntarily visited a a psychiatric ward. He was hospitalized at least once for suicidal tendencies and was taking Prozac.,No,Glock and Remington stolen from grandfather,"Two semiautomatic handguns, one shotgun",".40N/acaliber Glock 23, .22N/acaliber Ruger semiautomatic handguns; 12N/agauge Remington 870 shotgun","http://news.google.com/newspapers?id=c4dIAAAAIBAJ&sjid=_XEDAAAAIBAJ&pg=5163,1527281&dq=jeffrey+weise+mental+ill&hl=en; http://www.cbsnews.com/stories/2005/03/24/national/main682915.shtml?source=search_story; http://www.usnews.com/usnews/news/articles/050404/4redlake.htm; http://www.foxnews.com/story/0,2933,151116,00.html",http://www.cbsnews.com/stories/2005/03/24/national/main682915.shtml?source=search_story,"http://news.google.com/newspapers?id=c4dIAAAAIBAJ&sjid=_XEDAAAAIBAJ&pg=5163,1527281&dq=jeffrey+weise+mental+ill&hl=en; http://www.cbsnews.com/stories/2005/03/24/national/main682915.shtml?source=search_story; http://www.usnews.com/usnews/news/articles/050404/4redlake.htm; http://www.foxnews.com/story/0,2933,151116,00.html","Jeffrey Weise, 16, murdered his grandfather, who was a police officer, and grandfather's girlfriend. Weise then drove his grandfather's squad car to Red Lake Senior High School and opened fire on the reservation campus, killing another seven people before committing suicide.",,,,,,
Living Church of God shooting,"Brookfield, Wisconsin",3/12/2005,2005,White,Male,7,4,11,Religious,43.0605671,-88.1064787,Spree,44,Yes,Neighbors said he suffered from depression and had a drinking problem.,Yes,"Gun dealer in Waukesha, Wis.",One semiautomatic handgun,9mm Beretta semiautomatic handgun,"http://www.cbsnews.com/2100N/a201_162N/a679761.html; http://www.foxnews.com/story/0,2933,150255,00.html; http://www.msnbc.msn.com/id/7167861/ns/us_newsN/acrime_and_courts/t/relativesN/astruggleN/aanswersN/aafterN/ashooting/#.UN3Scko6JT4",http://www.cbsnews.com/2100N/a201_162N/a679761.html,"http://www.cbsnews.com/2100N/a201_162N/a679761.html; http://www.foxnews.com/story/0,2933,150255,00.html; http://www.msnbc.msn.com/id/7167861/ns/us_newsN/acrime_and_courts/t/relativesN/astruggleN/aanswersN/aafterN/ashooting/#.UN3Scko6JT4","Living Church of God member Terry Michael Ratzmann, 44, opened fire at a church meeting at a Sheraton hotel before committing suicide.",,,,,,
Damageplan show shooting,"Columbus, Ohio",12/8/2004,2004,White,Male,5,7,12,Other,39.9622601,-83.0007065,Mass,25,Yes,He was discharged from the military because he was a paranoid schizophrenic.,Yes,Received as a gift from mother,One semiautomatic handgun,9mm Beretta 92FS semiautomatic handgun,http://www.cbsnews.com/2100N/a201_162N/a659983.html; http://www.knac.com/article.asp?ArticleID=3417; http://www.blabbermouth.net/news.aspx?mode=Article&newsitemID=86362,http://www.cbsnews.com/2100N/a201_162N/a659983.html,http://www.cbsnews.com/2100N/a201_162N/a659983.html; http://www.knac.com/article.asp?ArticleID=3417; http://www.blabbermouth.net/news.aspx?mode=Article&newsitemID=86362,"Nathan Gale, 25, possibly upset about the breakup of Pantera, gunned down former Pantera guitarist Dimebag Darrell and three others at a Damageplan show before a police officer fatally shot Gale.",,,,,,
Lockheed Martin shooting,"Meridian, Mississippi",7/8/2003,2003,White,Male,7,8,15,Workplace,32.410842,-88.634539,Mass,48,Yes,"His cousin said he was depressed and ""going through a lot of things.""",Yes,Purchased from an individual,"One semiautomatic handgun, two rifles, one derringer, one shotgun",".45N/acaliber Ruger P90 semiautomatic handgun; .22N/acaliber rifle with scope, .223N/acaliber Ruger MiniN/a14 rifle; 12N/agauge Winchester 1300 shotgun; .22 Magnum derringer",http://usatoday30.usatoday.com/news/nation/2003N/a07N/a08N/amissN/ashootingN/amain_x.htm; http://www.nytimes.com/2003/07/09/us/manN/akillsN/a5N/acoN/aworkersN/aatN/aplantN/aandN/ahimself.html; http://www.nytimes.com/2003/07/16/us/nationalN/abriefingN/asouthN/amississippiN/adeathN/atollN/arisesN/ainN/aplantN/ashooting.html,http://usatoday30.usatoday.com/news/nation/2003N/a07N/a08N/amissN/ashootingN/amain_x.htm,http://usatoday30.usatoday.com/news/nation/2003N/a07N/a08N/amissN/ashootingN/amain_x.htm; http://www.nytimes.com/2003/07/09/us/manN/akillsN/a5N/acoN/aworkersN/aatN/aplantN/aandN/ahimself.html; http://www.nytimes.com/2003/07/16/us/nationalN/abriefingN/asouthN/amississippiN/adeathN/atollN/arisesN/ainN/aplantN/ashooting.html,"Assembly line worker Douglas Williams, 48, opened fire at his Lockheed Martin workplace in a racially motivated attack before committing suicide.",,,,,,
Navistar shooting,"Melrose Park, Illinois",2/5/2001,2001,Black,Male,5,4,9,Workplace,41.908163,-87.879908,Mass,66,No,"He had a criminal past, including a sexual assault conviction.",Yes,"Some purchased from Pepper Sports in Glen Ellyn, Ill. ","Two rifles, one revolver, one shotgun","SKS 1954R, .30N/acaliber Winchester rifles; 12N/agauge Remington pumpN/aaction shotgun; .38N/acaliber revolver",http://articles.chicagotribune.com/2001N/a02N/a07/news/0102070122_1_navistarN/agunN/alawN/ahuntingN/arifle; http://www.vpc.org/studies/wgun010205.htm,http://articles.chicagotribune.com/2001N/a02N/a07/news/0102070122_1_navistarN/agunN/alawN/ahuntingN/arifle,http://articles.chicagotribune.com/2001N/a02N/a07/news/0102070122_1_navistarN/agunN/alawN/ahuntingN/arifle; http://www.vpc.org/studies/wgun010205.htm,"Fired employee William D. Baker, 66, opened fire at his former Navistar workplace before committing suicide.",,,,,,
Wakefield massacre,"Wakefield, Massachusetts",12/26/2000,2000,White,Male,7,0,7,Workplace,42.500429,-71.075913,Mass,42,Yes,"Psychiatrist guessed he had schizophrenia, but McDermott had researched how to fake a mental illness on the internet. Defense lawyer described history of suicide attempts and mental illness dating back to teen years. Jury rejected his insanity defense. ",Yes,Unknown,"One semiautomatic handgun, one rifle (assault), one shotgun",.32N/acaliber Retolaza semiautomatic handgun; AKN/a47 variant semiautomatic rifle; 12N/agauge Winchester 1300 pumpN/aaction shotgun,"http://www.time.com/time/magazine/article/0,9171,93313,00.html; http://articles.cnn.com/2002N/a04N/a22/justice/ctv.mcdermott.trial_1_michaelN/amcdermottN/ajuryN/adeliberatesN/afateN/amentalN/aillness?_s=PM:LAW; http://www.nytimes.com/2000/12/27/us/7N/adieN/ainN/arampageN/aatN/acompanyN/acoN/aworkerN/aofN/avictimsN/aarrested.html; http://www.vpc.org/studies/wgun001226.htm",http://articles.cnn.com/2002N/a04N/a22/justice/ctv.mcdermott.trial_1_michaelN/amcdermottN/ajuryN/adeliberatesN/afateN/amentalN/aillness?_s=PM:LAW; http://www.boston.com/news/daily/24/mcdermott_verdict.htm,"http://www.time.com/time/magazine/article/0,9171,93313,00.html; http://articles.cnn.com/2002N/a04N/a22/justice/ctv.mcdermott.trial_1_michaelN/amcdermottN/ajuryN/adeliberatesN/afateN/amentalN/aillness?_s=PM:LAW; http://www.nytimes.com/2000/12/27/us/7N/adieN/ainN/arampageN/aatN/acompanyN/acoN/aworkerN/aofN/avictimsN/aarrested.html; http://www.vpc.org/studies/wgun001226.htm","Michael McDermott, 42, opened fire on coN/aworkers at Edgewater Technology and was later arrested.",,,,,,
Hotel shooting,"Tampa, Florida",12/30/1999,1999,Latino,Male,5,3,8,Workplace,27.966479,-82.570586,Spree,36,Yes,"His brother called him ""unbalanced"" and mentally ill.",Yes,"One purchased from Big E's in Tampa, Fla.","One semiautomatic handgun, one revolver",9mm Lorcin semiautomatic handgun; .38N/acaliber Charter Arms revolver,"http://www.sptimes.com/News/123000/news_pf/TampaBay/A_year_later__the_str.shtml; http://www.vpc.org/studies/wgun991230.htm; http://news.google.com/newspapers?id=CSUdAAAAIBAJ&sjid=ZaYEAAAAIBAJ&pg=2043,2634069&dq=silvio+leyva+shooting&hl=en",http://www.sptimes.com/News/123000/news_pf/TampaBay/A_year_later__the_str.shtml,"http://www.sptimes.com/News/123000/news_pf/TampaBay/A_year_later__the_str.shtml; http://www.vpc.org/studies/wgun991230.htm; http://news.google.com/newspapers?id=CSUdAAAAIBAJ&sjid=ZaYEAAAAIBAJ&pg=2043,2634069&dq=silvio+leyva+shooting&hl=en","Hotel employee Silvio Leyva, 36, gunned down four coworkers at the Radisson Bay Harbor Inn before killing a woman outside who refused to give him her car. He was arrested shortly after the shootings.",,,,,,
Xerox killings,"Honolulu, Hawaii",11/2/1999,1999,Asian,Male,7,0,7,Workplace,21.320063,-157.876462,Spree,40,Yes," A psychiatrist, testifying for the prosecution,said he suffered from schizophrenia.",Yes,"Hunting Supplies of Hawaii (The Armory) in Honolulu, Hawaii",One semiautomatic handgun,9mm Glock 17 semiautomatic handgun,http://archives.starbulletin.com/2000/06/02/news/story2.html; http://www.vpc.org/studies/wgun991102.htm,http://archives.starbulletin.com/2000/06/02/news/story2.html,http://archives.starbulletin.com/2000/06/02/news/story2.html; http://www.vpc.org/studies/wgun991102.htm,"Byran Koji Uyesugi, 40, a Xerox service technician, opened fire inside the building with a 9mm Glock. He fled and was later apprehended by police.",,,,,,
Wedgwood Baptist Church shooting,"Fort Worth, Texas",9/15/1999,1999,White,Male,8,7,15,Religious,32.664511,-97.384246,Mass,47,Yes,His siblings decribed him as a paranoid schizophrenic. ,Yes,"Trader's Village flea market in Grand Prairie, Texas",Two semiautomatic handguns,".380N/acaliber, 9mm Ruger P85 semiautomatic handguns",http://www.nytimes.com/1999/09/20/us/fortN/aworthN/aremembersN/athoseN/akilledN/aatN/achurch.html?pagewanted=all&src=pm; http://www.nytimes.com/1999/09/18/us/deathN/ainN/aaN/achurchN/atheN/aoverviewN/awithN/aquestionN/aofN/awhyN/aunansweredN/afortN/aworthN/amourns.html; http://www.vpc.org/studies/wgun990915.htm,http://www.nytimes.com/1999/09/18/us/deathN/ainN/aaN/achurchN/atheN/aoverviewN/awithN/aquestionN/aofN/awhyN/aunansweredN/afortN/aworthN/amourns.html,http://www.nytimes.com/1999/09/20/us/fortN/aworthN/aremembersN/athoseN/akilledN/aatN/achurch.html?pagewanted=all&src=pm; http://www.nytimes.com/1999/09/18/us/deathN/ainN/aaN/achurchN/atheN/aoverviewN/awithN/aquestionN/aofN/awhyN/aunansweredN/afortN/aworthN/amourns.html; http://www.vpc.org/studies/wgun990915.htm,"Larry Gene Ashbrook, 47, opened fire inside the Wedgwood Baptist Church during a prayer rally before committing suicide.",,,,,,
